IATA_CODE,DOT_Code,Cities,State,DOT_Airport_Name,IATA_Airport_Name
LAR,12888,Laramie,WY,Laramie Regional,Laramie Regional Airport
LAS,12889,Las Vegas,NV,Harry Reid International,McCarran International Airport
LAW,12891,Lawton/Fort Sill,OK,Lawton-Fort Sill Regional,Lawton-Fort Sill Regional Airport
LAX,12892,Los Angeles,CA,Los Angeles International,Los Angeles International Airport
LBB,12896,Lubbock,TX,Lubbock Preston Smith International,Lubbock Preston Smith International Airport
LBE,12898,Latrobe,PA,Arnold Palmer Regional,Arnold Palmer Regional Airport
LCH,12915,Lake Charles,LA,Lake Charles Regional,Lake Charles Regional Airport
LEX,12945,Lexington,KY,Blue Grass,Blue Grass Airport
LFT,12951,Lafayette,LA,Lafayette Regional Paul Fournet Field,Lafayette Regional Airport
LGA,12953,New York,NY,LaGuardia,LaGuardia Airport (Marine Air Terminal)
LGB,12954,Long Beach,CA,Long Beach Airport,Long Beach Airport (Daugherty Field)
LIH,12982,Lihue,HI,Lihue Airport,Lihue Airport
LIT,12992,Little Rock,AR,Bill and Hillary Clinton Nat Adams Field,Bill and Hillary Clinton National Airport (Adams Field)
LNK,13029,Lincoln,NE,Lincoln Airport,Lincoln Airport (Lincoln Municipal)
LRD,13061,Laredo,TX,Laredo International,Laredo International Airport
LSE,13076,La Crosse,WI,La Crosse Regional,La Crosse Regional Airport
LWS,13127,Lewiston,ID,Lewiston Nez Perce County,Lewiston-Nez Perce County Airport
MAF,13158,Midland/Odessa,TX,Midland International Air and Space Port,Midland International Airport
MBS,13184,Saginaw/Bay City/Midland,MI,MBS International,MBS International Airport
MCI,13198,Kansas City,MO,Kansas City International,Kansas City International Airport
MCO,13204,Orlando,FL,Orlando International,Orlando International Airport
MDT,13230,Harrisburg,PA,Harrisburg International,Harrisburg International Airport
MDW,13232,Chicago,IL,Chicago Midway International,Chicago Midway International Airport
MEI,13241,Meridian,MS,Key Field,Meridian Regional Airport
MEM,13244,Memphis,TN,Memphis International,Memphis International Airport
MFE,13256,Mission/McAllen/Edinburg,TX,McAllen International,McAllen-Miller International Airport (McAllen Miller International)
MFR,13264,Medford,OR,Rogue Valley International - Medford,Rogue Valley International Airport
MGM,13277,Montgomery,AL,Montgomery Regional,Montgomery Regional Airport
MHK,13290,Manhattan/Ft. Riley,KS,Manhattan Regional,Manhattan Regional Airport
