Destination_Airport Origin_Airport  Distance 
DTW  	BGM  	378
CLT  	SFO  	2296
ORD  	JAX  	864
BHM  	DTW  	625
SAN  	LIH  	2676
MIA  	EYW  	125
BOS  	FLL  	1237
ORD  	ATW  	160
STX  	SJU  	94
CMH  	DEN  	1154
ORD  	XNA  	522
MSY  	DEN  	1062
DCA  	MDW  	601
STL  	CMH  	409
CLE  	IAD  	288
ORD  	RST  	268
LGA  	DCA  	214
BOI  	LAX  	674
TUS  	LAX  	451
EWR  	OMA  	1134
EWR  	BOS  	200
MCO  	SAN  	2149
JNU  	ANC  	571
IAH  	TUS  	936
MSY  	PHX  	1300
SGF  	DEN  	637
MSP  	SLC  	991
STT  	SJU  	68
JFK  	LAX  	2475
HNL  	LAX  	2556
ABQ  	DFW  	569
DAL  	MAF  	319
ROC  	MDW  	523
DEN  	SAN  	853
OAK  	BNA  	1959
PDX  	SEA  	129
SEA  	KTN  	680
ORD  	CLE  	315
BUR  	OAK  	325
JFK  	SJU  	1598
ATL  	LFT  	503
ORD  	LAS  	1514
OAK  	SAN  	446
BOS  	PDX  	2537
MSP  	JFK  	1029
DEN  	SHV  	792
IAD  	CVG  	388
GJT  	SLC  	216
RNO  	MSP  	1405
BOS  	MYR  	738
RNO  	SFO  	192
PHF  	ATL  	508
DAL  	OAK  	1468
DFW  	TYS  	771
DSM  	LAS  	1216
KOA  	LAX  	2504
LIT  	PHX  	1136
DEN  	EWR  	1605
FLL  	STT  	1107
OMA  	DTW  	651
DTW  	BHM  	625
MSP  	IAD  	908
LIH  	LAX  	2615
LNK  	MSP  	331
ORD  	BTV  	763
SHV  	IAH  	192
ORD  	CAK  	343
DFW  	GRR  	931
FLL  	SEA  	2717
IAH  	MSP  	1034
TTN  	CLT  	484
ATL  	EVV  	350
DFW  	ELP  	551
LGA  	SRQ  	1047
DFW  	MTJ  	722
MAF  	DAL  	319
PIA  	IAH  	802
ELM  	DTW  	332
LBB  	AUS  	341
BUF  	BWI  	281
SFO  	LAX  	337
HDN  	IAH  	985
OMA  	PHX  	1037
BWI  	ATL  	577
JFK  	BWI  	184
DSM  	MDW  	306
MGM  	ATL  	147
BDL  	MSP  	1050
CLT  	DCA  	331
ORD  	JFK  	740
ANC  	AKN  	288
MEM  	HOU  	484
SFO  	BOS  	2704
SJC  	DEN  	948
MTJ  	DFW  	722
HOU  	LAS  	1235
HRL  	HOU  	277
MSP  	INL  	255
CVG  	PHX  	1569
PBI  	CLT  	590
DEN  	PBI  	1679
CAK  	TPA  	894
GEG  	DEN  	836
OKC  	ORD  	693
ORD  	OMA  	416
PHX  	BFL  	425
DEN  	GTF  	624
MSP  	ORF  	1045
BZN  	SFO  	807
MQT  	ORD  	303
SEA  	MSO  	389
SEA  	CLE  	2021
ORD  	BWI  	622
COU  	DFW  	489
PIA  	DTW  	346
HOU  	PNS  	488
ATL  	SNA  	1919
MIA  	ATL  	594
MIA  	BHM  	661
MDW  	LAS  	1521
HNL  	ORD  	4243
TUL  	DTW  	789
PSP  	ORD  	1652
MDW  	SLC  	1259
IAH  	JAN  	351
ICT  	ATL  	782
MCO  	JFK  	944
HNL  	MSP  	3972
INL  	MSP  	255
CLL  	IAH  	74
JAX  	DEN  	1447
ABQ  	DEN  	349
DFW  	MFE  	469
OAK  	DEN  	957
EWR  	BDL  	116
MCI  	MKE  	436
ORD  	CLT  	599
BWI  	CLT  	361
SLC  	MIA  	2088
TUL  	DAL  	237
ILM  	ATL  	377
SLC  	SAT  	1087
OGG  	DEN  	3302
PHX  	STL  	1262
CLE  	DFW  	1021
DEN  	OAK  	957
LEX  	ATL  	304
DAL  	CHS  	977
FLL  	MCO  	177
DAY  	TPA  	828
MEM  	SLC  	1262
IAH  	JAX  	817
YAK  	JNU  	199
SAN  	MCO  	2149
DTW  	CHS  	667
ASE  	DEN  	125
DTW  	SYR  	374
AUS  	SAN  	1164
MSP  	ABQ  	981
LEX  	IAH  	828
DEN  	LAX  	862
ERI  	DTW  	164
PDX  	SJC  	569
RIC  	LGA  	292
MCI  	BWI  	967
BWI  	SDF  	495
BRD  	MSP  	114
SLC  	BTM  	358
ATL  	FSD  	954
SFO  	FAT  	158
DFW  	MOB  	539
DTW  	LIT  	705
DEN  	JFK  	1626
JAX  	HOU  	816
EYW  	ATL  	646
GST  	JNU  	41
SLC  	MSN  	1174
FLL  	DAL  	1108
MCO  	LAX  	2218
RDU  	HOU  	1050
ORD  	SDF  	286
ACY  	PBI  	936
DTW  	JFK  	509
SJC  	HNL  	2417
MSP  	GFK  	284
ORD  	ALO  	234
BWI  	BHM  	682
JAX  	JFK  	828
DCA  	HOU  	1218
CMH  	STL  	409
PDX  	HOU  	1843
CRP  	IAH  	201
DFW  	ROW  	435
OKC  	LAX  	1187
LGA  	GRR  	618
DFW  	AEX  	285
MSY  	ATL  	425
ATL  	IAD  	534
IAD  	SFO  	2419
DEN  	XNA  	616
BWI  	LAX  	2329
MCO  	EWR  	937
ATL  	ABY  	145
ORD  	MSN  	108
HOU  	JFK  	1428
MSP  	DIK  	481
DTW  	GRR  	120
EWR  	CLE  	404
JFK  	SAV  	718
LIH  	OGG  	201
BWI  	CHS  	472
SAT  	DAL  	248
SLC  	OKC  	866
DFW  	OKC  	175
TUL  	IAH  	429
DTW  	RSW  	1084
MSP  	SBN  	411
MIA  	GNV  	294
CRW  	IAH  	975
WRG  	PSG  	31
LAX  	AUS  	1242
SMF  	HNL  	2462
IAH  	SEA  	1874
JFK  	ATL  	760
SLC  	CPR  	320
IDA  	SLC  	188
MKE  	BOS  	860
XNA  	ORD  	522
OME  	OTZ  	183
ATL  	CSG  	83
IND  	RSW  	945
ECP  	STL  	634
ATL  	BTR  	448
JFK  	MSP  	1029
OAK  	JFK  	2576
LIT  	DFW  	304
CID  	DTW  	430
ANC  	JNU  	571
DAB  	ATL  	366
MLI  	DFW  	691
DTW  	JAX  	813
ABI  	DFW  	158
DTW  	MSP  	528
ATL  	EWR  	746
BDL  	CLE  	476
RIC  	BOS  	474
AUS  	DAL  	189
LGA  	MSN  	812
MSY  	HOU  	302
OGG  	OAK  	2349
LGA  	HOU  	1428
DEN  	BOI  	649
ATL  	OMA  	821
ATL  	JAN  	341
CMH  	PHX  	1670
MIA  	IAH  	964
ORD  	PVD  	849
PHX  	BNA  	1449
ANC  	LGB  	2360
MHK  	ORD  	501
SAT  	ATL  	874
LAX  	MRY  	266
BOI  	PHX  	735
TPA  	DTW  	983
MIA  	EGE  	1810
MSP  	MSN  	228
FAR  	DEN  	627
ORD  	DCA  	612
LGA  	DAL  	1381
BUR  	LAS  	223
ISN  	IAH  	1330
BIL  	SLC  	387
ORD  	PBI  	1144
OAK  	MDW  	1844
HNL  	SLC  	2994
ACY  	MYR  	466
RSW  	PIT  	966
MEM  	ORD  	491
CVG  	RSW  	879
GSO  	MIA  	710
GRR  	CVG  	268
IAH  	ABQ  	744
DFW  	SJT  	229
PHX  	KOA  	2860
TPA  	STL  	869
FLL  	CVG  	932
BDL  	SJU  	1666
TPA  	MIA  	204
JFK  	DFW  	1391
BHM  	LGA  	866
SDF  	MCO  	719
ACY  	BOS  	274
BOS  	JFK  	187
EWR  	ROC  	246
AUS  	ELP  	528
LAX  	PHL  	2402
CLT  	ILM  	185
SFO  	ASE  	848
OGG  	ITO  	121
ALB  	LAS  	2237
ORD  	ROC  	528
DAL  	TPA  	917
DFW  	MCI  	460
DTW  	PBI  	1086
PUB  	DEN  	109
DFW  	RIC  	1158
DFW  	BMI  	690
SAN  	ABQ  	628
BOS  	SJU  	1674
LIT  	DEN  	771
IAD  	LAX  	2288
DEN  	MSN  	826
JFK  	DCA  	213
BUR  	SEA  	937
SFO  	RDD  	199
JFK  	SFO  	2586
ORD  	TUL  	585
JAX  	IAH  	817
ATL  	FSM  	579
EWR  	SYR  	195
LBE  	TPA  	866
BMI  	ATL  	533
BOS  	LAS  	2381
CLT  	RIC  	257
PSP  	LAX  	110
SMF  	PHL  	2458
SEA  	OKC  	1519
IND  	SFO  	1943
RHI  	MSP  	190
LAX  	ATL  	1947
HDN  	IAD  	1582
ORD  	PWM  	900
SFO  	CLT  	2296
ORD  	GRR  	137
SEA  	HOU  	1894
CMH  	CLT  	347
IAD  	SAN  	2253
BUR  	SLC  	574
SDF  	LAS  	1624
BOS  	MSY  	1368
BUF  	RSW  	1144
JAX  	DTW  	813
LAX  	PIT  	2136
SEA  	MCI  	1489
TPA  	HPN  	1032
DFW  	MSN  	821
ATL  	DEN  	1199
SLC  	BOI  	290
LIH  	SEA  	2701
BOI  	SFO  	522
TPA  	AUS  	928
GSO  	ATL  	306
BNA  	MSP  	695
OGG  	DFW  	3711
DTW  	CHA  	505
MSP  	SAT  	1097
HNL  	DFW  	3784
SJC  	DFW  	1438
ELP  	LAX  	715
CMH  	ATL  	447
MAF  	DEN  	563
BNA  	PHX  	1449
ASE  	SFO  	848
PVD  	MCO  	1072
DEN  	OGG  	3302
DEN  	OKC  	495
DFW  	MKE  	853
TUL  	STL  	351
LAX  	BOS  	2611
TUL  	ORD  	585
CLT  	PVD  	683
STT  	MIA  	1107
MSP  	PHL  	980
DEN  	OMA  	472
TUL  	MDW  	583
IAH  	SAT  	191
DTW  	ROC  	296
CLT  	CMH  	347
MDW  	ABQ  	1121
SEA  	BWI  	2335
SAN  	PHX  	304
ALB  	ORD  	723
ANC  	IAH  	3266
DCA  	MCI  	949
SBP  	PHX  	509
HOU  	SAN  	1313
OTZ  	OME  	183
SLC  	ABQ  	493
EWR  	SBN  	637
BWI  	BOS  	369
JAC  	ATL  	1572
DFW  	MAF  	309
LAS  	JAX  	1965
SLC  	RNO  	422
MKE  	LGA  	738
DAY  	BWI  	406
JAN  	IAH  	351
ONT  	LAS  	197
MSP  	CLE  	622
RDU  	DFW  	1061
CLE  	IAH  	1091
IAH  	VPS  	528
IAH  	PHX  	1009
DSM  	IAH  	802
ORD  	CMH  	296
MSP  	FWA  	488
ORD  	MBS  	222
HOU  	IND  	861
RIC  	DTW  	456
LAS  	MDW  	1521
SDF  	BWI  	495
HYS  	DEN  	298
MLI  	DTW  	373
GPT  	ATL  	352
BOS  	EWR  	200
ORD  	OKC  	693
JNU  	YAK  	199
SFO  	BOI  	522
SEA  	OGG  	2640
MAF  	IAH  	429
ORD  	SRQ  	1050
PDX  	BOI  	344
BWI  	SEA  	2335
SFO  	CEC  	304
PDX  	LAX  	834
LGA  	PHL  	96
BLI  	SEA  	93
MSP  	GEG  	1175
LNK  	ORD  	466
SFO  	DEN  	967
EWR  	BTV  	266
ORD  	IAD  	589
BOS  	TPA  	1185
DAL  	SEA  	1670
TPA  	BWI  	842
DFW  	GSO  	999
SEA  	PDX  	129
ASE  	LAX  	737
BUF  	ORD  	474
STT  	ATL  	1599
DCA  	CLT  	331
MCO  	BOS  	1121
BNA  	SAN  	1751
ORD  	SMF  	1781
FSD  	ORD  	462
EWR  	SEA  	2402
LAS  	ALB  	2237
BWI  	BDL  	283
BNA  	CHS  	439
LAX  	MCI  	1363
SJC  	MDW  	1838
ORD  	EVV  	272
PHL  	PDX  	2406
IAH  	BOS  	1597
LAX  	EGE  	748
IAD  	FLL  	901
TPA  	IND  	837
ATL  	BUF  	712
BNA  	MCI  	491
IAH  	ORF  	1201
SFO  	SBA  	262
BOS  	RIC  	474
STL  	MIA  	1068
ANC  	SCC  	627
OKC  	MSP  	694
SLC  	MDW  	1259
DTW  	TPA  	983
DEN  	GRR  	1015
ATL  	MHT  	952
ORD  	SEA  	1721
JFK  	PSE  	1617
IAH  	BHM  	562
IDA  	DEN  	458
IAH  	SLC  	1195
DAL  	SNA  	1216
MSP  	LNK  	331
MKE  	EWR  	725
CMH  	JFK  	483
ORF  	DTW  	529
IAH  	GUC  	886
TUL  	DFW  	237
SLC  	FAT  	501
IAG  	FLL  	1176
ATL  	BDL  	859
MCO  	ROC  	1033
SEA  	MCO  	2554
LGB  	SLC  	588
SYR  	DTW  	374
MSP  	IMT  	257
MCO  	AUS  	994
MSP  	BNA  	695
ORD  	CMI  	135
SYR  	CLT  	603
MCI  	CVG  	539
IAH  	LCH  	127
EWR  	OKC  	1325
DEN  	CMH  	1154
TVC  	MSP  	376
MSP  	TTN  	989
HYA  	JFK  	196
SBP  	LAX  	156
DFW  	PSP  	1126
MBS  	DTW  	98
LGA  	DAY  	549
RDU  	EWR  	416
BOS  	RSW  	1249
LAS  	FLL  	2173
MCO  	HPN  	972
HOU  	ATL  	696
SAT  	MIA  	1143
MSY  	DCA  	969
SEA  	CVG  	1965
SJC  	ATL  	2116
EWR  	MSP  	1008
ATL  	TUS  	1541
SMF  	LAX  	373
LAS  	ICT  	986
MSP  	DFW  	852
IND  	EWR  	645
OAK  	BUR  	325
MYR  	LGA  	563
DFW  	SLC  	989
CAK  	DTW  	133
PNS  	ORD  	794
ORD  	ASE  	1013
LAS  	SAN  	258
JAX  	MSP  	1174
COS  	LAX  	833
RSW  	CAK  	991
ATL  	MLI  	633
JFK  	LAS  	2248
RDU  	STL  	667
PHL  	DTW  	453
RIC  	ORD  	642
DAL  	CLT  	926
IAH  	OMA  	781
CRW  	DFW  	946
ABQ  	JFK  	1826
DFW  	LAS  	1055
ORD  	LNK  	466
BOS  	MIA  	1258
CLT  	MIA  	650
CLE  	SFO  	2161
RNO  	SLC  	422
LAS  	BHM  	1618
TPA  	MEM  	655
LAX  	LAS  	236
BWI  	MEM  	787
DEN  	HOU  	883
DAL  	SJC  	1450
BDL  	IAD  	326
ATL  	PNS  	271
DEN  	RDM  	898
PIT  	DEN  	1290
ANC  	PHX  	2552
MCO  	SLC  	1931
MSP  	PDX  	1426
ORD  	SPI  	174
DFW  	EGE  	721
MCO  	ORF  	655
MSP  	DTW  	528
JFK  	PBI  	1028
SAN  	MSY  	1599
AZO  	DTW  	113
SJU  	MIA  	1045
ORD  	SFO  	1846
BMI  	MSP  	375
PHX  	TPA  	1788
ONT  	PHX  	325
STL  	SFO  	1735
JLN  	DFW  	327
BOS  	LGB  	2602
MSY  	CLT  	651
DEN  	DFW  	641
BZN  	PDX  	554
IAH  	JAC  	1265
STT  	JFK  	1623
IAH  	ASE  	913
SAN  	LAX  	109
TLH  	DFW  	767
JNU  	SEA  	909
FLL  	PBG  	1334
ELM  	ORD  	566
IAH  	HSV  	595
MSY  	BOS  	1368
PBI  	TTN  	985
ATL  	SDF  	321
TPA  	GRR  	1041
CNY  	SLC  	184
TUS  	SAN  	368
LAS  	JFK  	2248
ATL  	AUS  	813
IAH  	ISN  	1330
MDW  	DCA  	601
BUF  	JFK  	301
CLT  	STT  	1520
SLC  	BNA  	1404
DTW  	MYR  	636
SUN  	SLC  	222
IAD  	DFW  	1172
MSY  	EWR  	1167
ORD  	CHS  	760
SJC  	KOA  	2384
AUS  	IAD  	1297
EWR  	RSW  	1068
DRO  	DEN  	250
ONT  	DFW  	1188
RNO  	PHX  	601
OME  	ANC  	539
BOS  	ATL  	946
TUL  	HOU  	453
BDL  	RSW  	1180
PHX  	MRY  	598
LGA  	ILM  	500
MSP  	CMH  	626
SFO  	MIA  	2585
EWR  	EGE  	1725
RDD  	SFO  	199
RDU  	MSP  	980
ATL  	ATW  	765
PDX  	EWR  	2434
BOS  	SFO  	2704
BNA  	SAT  	822
BWI  	STL  	738
BNA  	CVG  	230
IAH  	AMA  	517
ATL  	CVG  	373
COD  	DEN  	391
DHN  	ATL  	170
ORD  	FCA  	1352
ONT  	OAK  	362
DEN  	RAP  	300
TPA  	SDF  	727
EWR  	MCO  	937
LSE  	MSP  	119
CLT  	JAX  	328
GEG  	OAK  	723
SAT  	TPA  	972
RNO  	IAH  	1530
LAS  	HOU  	1235
TYS  	DEN  	1162
DFW  	SJU  	2165
SFO  	IAD  	2419
DAL  	LGA  	1381
PHX  	DSM  	1149
ANC  	ADK  	1192
DAL  	ECP  	674
EVV  	ATL  	350
GSP  	BWI  	426
ONT  	SLC  	558
BOS  	STL  	1047
SFO  	JAC  	737
OAK  	OGG  	2349
FSD  	ATL  	954
PPG  	HNL  	2599
FAI  	MSP  	2466
CLT  	LGA  	544
TYS  	ORD  	475
LEX  	MSP  	650
CAE  	ORD  	666
MSP  	FAI  	2466
SHV  	DEN  	792
RDU  	PHL  	337
SLC  	TUS  	601
GEG  	PHX  	1020
DEN  	RNO  	804
MCO  	SDF  	719
MDW  	LIT  	544
LAS  	BWI  	2106
ORD  	ICT  	588
BZN  	DEN  	524
SLC  	CVG  	1450
ORD  	BIS  	716
OAK  	BWI  	2447
LAS  	DSM  	1216
LAS  	ORD  	1514
MEM  	EWR  	946
TTN  	FLL  	1026
MSY  	AUS  	444
BWI  	BNA  	587
ATL  	GPT  	352
EWR  	DSM  	1017
MYR  	FLL  	529
ATL  	PHF  	508
MSP  	JAX  	1174
TPA  	JFK  	1005
LBB  	DAL  	293
HOU  	STL  	687
LAX  	CVG  	1900
DAL  	TUL  	237
SAT  	MSY  	494
SJU  	IAD  	1571
SAN  	MDW  	1728
SEA  	BUR  	937
FLL  	HOU  	957
PHX  	RNO  	601
ORD  	ATL  	606
XNA  	MSP  	596
TPA  	ILG  	899
MEM  	DFW  	431
EWR  	XNA  	1131
BOS  	OAK  	2694
DEN  	HYS  	298
SYR  	MSP  	860
ATL  	BWI  	577
PDX  	SLC  	630
CMH  	BWI  	337
GSP  	DTW  	508
ROC  	ORD  	528
SEA  	PHX  	1107
MIA  	CLT  	650
SFO  	MFR  	329
HOU  	DEN  	883
BWI  	CLE  	314
DAL  	MCI  	460
TPA  	TTN  	955
JFK  	CLE  	425
SMF  	ATL  	2092
CLE  	TPA  	927
BOS  	CAK  	549
DFW  	ORD  	802
ATL  	EWN  	433
DFW  	ORF  	1212
DAY  	MCO  	808
GEG  	LAX  	945
DFW  	PIT  	1067
DFW  	CHA  	695
STX  	ATL  	1638
PIH  	SLC  	150
DRO  	DFW  	674
FLL  	TPA  	197
ANC  	BRW  	725
TPA  	CLT  	507
IAH  	SJU  	2007
BOS  	DCA  	399
DEN  	JAC  	406
MCO  	IND  	829
LAX  	OAK  	337
GRR  	LGA  	618
IAH  	TUL  	429
BIL  	DEN  	455
PHX  	BOI  	735
OGG  	SEA  	2640
BWI  	PVD  	327
EGE  	JFK  	1746
ORD  	LAX  	1744
SFO  	JFK  	2586
HRL  	AUS  	273
PVD  	ORD  	849
SLC  	PHX  	507
DFW  	LFT  	351
MHT  	LGA  	195
SAV  	ATL  	214
HOU  	SNA  	1357
MCO  	ABQ  	1553
SFO  	SMX  	216
DEN  	STL  	770
DCA  	PVD  	356
PDX  	JFK  	2454
SEA  	BLI  	93
RDU  	FLL  	680
LAS  	TUS  	365
DEN  	PHL  	1558
MSP  	MCO  	1310
SEA  	BNA  	1978
SEA  	IAD  	2306
FLL  	DTW  	1127
SAV  	JFK  	718
AUS  	PDX  	1715
DCA  	PBI  	857
BFL  	IAH  	1428
MEM  	MSP  	700
EWR  	MTJ  	1795
CLL  	DFW  	164
LAS  	AUS  	1090
RIC  	DFW  	1158
BOI  	SEA  	399
STL  	LAS  	1371
EYW  	MIA  	125
DTW  	IAD  	383
JFK  	STT  	1623
GRB  	ORD  	173
MDW  	PBI  	1128
OKC  	PHX  	833
CRW  	MYR  	356
DEN  	EUG  	996
PIT  	JFK  	340
SLC  	SEA  	689
JFK  	ABQ  	1826
LRD  	IAH  	301
MCI  	ABQ  	718
MSP  	LAN  	455
GRR  	IAH  	1042
MDW  	TPA  	997
ORD  	HPN  	738
KTN  	JNU  	234
MCI  	DAL  	460
DFW  	LIT  	304
PNS  	BNA  	391
CAK  	DEN  	1224
TLH  	ATL  	223
LAX  	MEM  	1619
STL  	MSY  	604
PVD  	ATL  	903
PDX  	IAD  	2327
ORD  	AVL  	536
DEN  	CLT  	1337
MSN  	EWR  	799
HOU  	DFW  	247
MFE  	DFW  	469
BHM  	MIA  	661
JNU  	PSG  	123
ATL  	BTV  	961
SEA  	HNL  	2677
IMT  	RHI  	67
HOU  	PIT  	1131
CLT  	IAH  	912
ISN  	MSP  	546
ABQ  	ORD  	1118
HSV  	ORD  	510
ISP  	MCO  	971
SFO  	CLE  	2161
STL  	GRR  	382
IAD  	SJU  	1571
BWI  	AUS  	1342
PDX  	AUS  	1715
CVG  	SEA  	1965
SLC  	DTW  	1481
PVD  	CLT  	683
ROC  	EWR  	246
LAS  	SAT  	1069
DTW  	BNA  	456
LEX  	DTW  	296
OKC  	LAS  	986
DEN  	IDA  	458
MOB  	ATL  	302
ANC  	DEN  	2405
MEM  	LGA  	963
DFW  	MHK  	431
SFO  	HNL  	2398
BOS  	STT  	1693
DFW  	BOS  	1562
DFW  	BRO  	482
JAX  	ATL  	270
ORF  	ORD  	717
MSP  	BJI  	199
BOS  	MCI  	1256
SLC  	BZN  	347
JFK  	AUS  	1521
CLT  	MEM  	511
SFO  	PIT  	2254
FLL  	LAX  	2342
SAT  	STL  	786
IAH  	BOI  	1482
CVG  	DFW  	812
BIS  	MSP  	386
ABE  	ATL  	692
SJC  	BOS  	2689
GTR  	ATL  	241
MSO  	MSP  	1013
ORD  	BUF  	474
RSW  	FNT  	1138
MCO  	DTW  	957
DEN  	CAK  	1224
PIT  	EWR  	319
IAH  	PHL  	1325
MSY  	MDW  	825
LAX  	SLC  	590
DFW  	BWI  	1217
DFW  	ATL  	731
CLT  	RDU  	130
BDL  	MDW  	777
JAC  	ORD  	1162
GCC  	DEN  	313
PDX  	ATL  	2172
SMX  	SFO  	216
DEN  	MSP  	680
CAE  	ATL  	192
PSC  	SEA  	172
SJC  	BUR  	296
MDW  	MSY  	825
CLE  	RSW  	1025
DFW  	AUS  	190
SLC  	LGB  	588
DAL  	MCO  	973
MEI  	PIB  	69
STT  	EWR  	1634
DEN  	LAR  	113
DTW  	RDU  	501
MSY  	MIA  	675
CLE  	MDW  	307
ORD  	PIA  	130
AUS  	LAX  	1242
ORD  	EAU  	268
SRQ  	BOS  	1220
HNL  	BLI  	2715
DEN  	BHM  	1083
MDW  	ONT  	1706
CHA  	DFW  	695
CLT  	ORF  	290
OAK  	HNL  	2409
BWI  	MIA  	946
BNA  	IAD  	542
CLT  	FLL  	632
MIA  	DFW  	1121
OAK  	LGB  	353
ORD  	BMI  	116
LGA  	CHS  	641
MYR  	ORD  	753
LGA  	TPA  	1010
DFW  	SJC  	1438
ORD  	STL  	258
OAK  	AUS  	1497
SLC  	BOS  	2105
LGA  	MCO  	950
DEN  	DAY  	1085
DCA  	PHX  	1979
STX  	MIA  	1139
LGA  	DFW  	1389
BOI  	OAK  	512
PIA  	ATL  	565
PWM  	DTW  	668
OMA  	DAL  	585
OMA  	SLC  	840
ICT  	LAX  	1203
IDA  	MSP  	939
BOS  	ORD  	867
BWI  	SAT  	1407
BDL  	DTW  	549
DEN  	SAT  	794
OAK  	MCI  	1489
TYS  	IAH  	771
PHL  	IND  	588
EWR  	GSP  	594
ATL  	STT  	1599
DSM  	ORD  	299
DAY  	EWR  	533
EGE  	ORD  	1007
MCI  	LGA  	1107
MEM  	DAL  	423
CMH  	MCO  	802
IAH  	PDX  	1825
SJC  	LIH  	2466
IAH  	EGE  	934
PVD  	DTW  	615
STL  	SNA  	1569
DFW  	EWR  	1372
MEM  	DEN  	872
PSP  	DFW  	1126
OAK  	GEG  	723
PDX  	SFO  	550
IAD  	RSW  	891
ORD  	PAH  	342
CHS  	ATL  	259
MGM  	DFW  	622
SAN  	PDX  	933
DAL  	AUS  	189
CLT  	SGF  	708
SAT  	DEN  	794
FLL  	STL  	1056
DEN  	LGA  	1620
MTJ  	DEN  	196
MSP  	MEM  	700
SJC  	LAS  	386
PSP  	MSP  	1454
FLL  	DEN  	1703
BNA  	DEN  	1014
LBB  	DFW  	282
SMF  	MDW  	1790
GSP  	HOU  	845
SYR  	IAD  	296
MIA  	LAX  	2342
MSP  	JAC  	872
MSP  	BMI  	375
SLC  	HNL  	2994
MSO  	SLC  	436
MTJ  	SFO  	791
DFW  	JAC  	1047
SJU  	ATL  	1547
RKS  	SLC  	162
PHX  	GEG  	1020
TPA  	DFW  	929
DSM  	MSP  	232
LAX  	PSP  	110
RDU  	BNA  	442
CMI  	DFW  	693
EWR  	SFO  	2565
COS  	DEN  	73
SEA  	BOS  	2496
SNA  	MSP  	1522
BTR  	IAH  	253
LAX  	OKC  	1187
MEM  	LAS  	1416
ATL  	CID  	694
LAS  	TPA  	1984
SNA  	HOU  	1357
MEM  	BWI  	787
DTW  	OKC  	900
OAK  	DAL  	1468
CLT  	TPA  	507
SLC  	PDX  	630
MCO  	ALB  	1073
CLE  	FLL  	1062
FSD  	MSP  	196
SNA  	PHX  	338
MSP  	SAN  	1532
STL  	OKC  	462
LGA  	SDF  	659
SYR  	EWR  	195
LAX  	RNO  	391
SEA  	MSP  	1399
SEA  	MSY  	2086
SNA  	DEN  	846
CLT  	PHX  	1773
MDW  	OKC  	691
SLC  	SAN  	626
SNA  	SFO  	372
MDW  	GSP  	562
MCI  	BNA  	491
LAS  	EWR  	2227
DFW  	PDX  	1616
JFK  	BUR  	2465
DAL  	IAH  	216
SAV  	IAH  	851
JFK  	MIA  	1089
KOA  	SJC  	2384
HNL  	JFK  	4983
JAX  	BNA  	483
OMA  	MCO  	1211
EUG  	DEN  	996
ORD  	MIA  	1197
AMA  	IAH  	517
SLC  	ORD  	1250
IAH  	MKE  	984
MSP  	BDL  	1050
STL  	EWR  	872
BRO  	DFW  	482
PHX  	TUS  	110
BHM  	HOU  	570
PDX  	IAH  	1825
LGA  	ORF  	296
DFW  	MIA  	1121
MDW  	MHT  	838
DEN  	CPR  	230
DTW  	DAY  	166
BHM  	DAL  	587
SBN  	EWR  	637
IAH  	ORD  	925
IAD  	HNL  	4817
RAP  	MSP  	489
HOU  	SLC  	1214
DTW  	LEX  	296
MDW  	BOS  	861
MKE  	ATL  	669
LAX  	FLL  	2343
SLC  	RDM  	525
BOI  	OAK  	511
FLL  	STL  	1057
SFO  	OKC  	1384
LAS  	PDX  	763
MCO  	FLL  	177
MSY  	MCI  	689
MDW  	TUL  	583
DFW  	RDU  	1061
PWM  	JFK  	273
CHS  	DAL  	977
DTW  	ERI  	164
MCO  	MSP  	1310
BWI  	OKC  	1180
SBA  	DEN  	916
RSW  	DCA  	892
FNT  	MCO  	1011
CLT  	CLE  	430
LEX  	DFW  	785
MSP  	MSY  	1039
DBQ  	ORD  	147
TUL  	PHX  	935
ORD  	TTN  	693
LBE  	RSW  	956
LGA  	CHO  	305
AVL  	EWR  	583
SEA  	DTW  	1927
MCI  	ORD  	403
MIA  	SAN  	2267
FSM  	ATL  	579
OAK  	BOI  	512
ORD  	COS  	911
TPA  	CVG  	773
ABE  	ORD  	654
ONT  	DEN  	819
IAH  	ELP  	667
SEA  	SIT  	861
MCI  	DFW  	460
PHX  	PHL  	2075
DTW  	AVP  	399
DTW  	ATW  	296
RAP  	DFW  	835
SLC  	SMF  	532
MSY  	MKE  	903
TPA  	CAK  	894
MSP  	OKC  	694
LAX  	OMA  	1330
ORD  	CMX  	359
DCA  	ORD  	612
OKC  	DAL  	181
SCE  	ORD  	528
MDW  	FLL  	1167
MCI  	MSY  	689
TRI  	ATL  	227
CID  	DEN  	692
ORD  	MCI  	403
JAX  	ORD  	864
DEN  	PHX  	602
PDX  	MCI  	1482
BNA  	TPA  	612
SLC  	PSP  	541
EWR  	ORF  	284
JFK  	DEN  	1626
MSP  	BIL  	748
FLL  	BWI  	925
SRQ  	LGA  	1047
MDW  	LGA  	725
LIH  	PDX  	2631
LGA  	ATL  	762
ORD  	GSO  	589
FLL  	LGA  	1076
DCA  	JFK  	213
MSP  	PIA  	342
LAS  	BNA  	1587
PDX  	PHX  	1009
STL  	MDW  	251
DAL  	SMF  	1442
JAX  	PHL  	742
PSP  	PDX  	873
CLE  	SEA  	2021
SLC  	DFW  	989
